Wavenumber	Intensity
nm	a. u.
2666	1483.32049214286
2664	1439.9039807619
2662	1448.452149
2660	1467.427728
2658	1459.48467866667
2656	1486.96557604762
2654	1481.29500947619
2652	1448.37571104762
2650	1446.82490190476
2648	1415.61805809524
2646	1405.93973319048
2644	1432.16716957143
2642	1411.76483614286
2640	1387.63830485714
2638	1381.38944147619
2636	1355.70778290476
2634	1311.186327
2632	1314.25829642857
2630	1361.33144095238
2628	1411.95543466667
2626	1457.85277409524
2624	1461.58053138095
2622	1468.82828947619
2620	1419.469105
2618	1438.39213990476
2616	1406.94506304762
2614	1379.82570761905
2612	1361.32483814286
2610	1381.21786104762
2608	1343.54235357143
2606	1394.99182342857
2604	1387.45077857143
2602	1394.5993832381
2600	1385.29379114286
2598	1372.58045747619
2596	1408.98755180952
2594	1438.21169309524
2592	1427.08806738095
2590	1400.65110057143
2588	1372.16013585714
2586	1373.29080709524
2584	1403.33700595238
2582	1390.49076114286
2580	1394.50249990476
2578	1390.51790242857
2576	1403.34763209524
2574	1446.27801152381
2572	1466.68339933333
2570	1440.33933861905
2568	1427.05881738095
2566	1381.98725166667
2564	1351.67012390476
2562	1362.62535328571
2560	1391.82961404762
2558	1408.03132304762
2556	1414.99433714286
2554	1385.37150995238
2552	1340.87099680952
2550	1331.97693980952
2548	1356.2043852381
2546	1378.45050419048
2544	1425.45509819048
2542	1439.74513061905
2540	1418.25221642857
2538	1408.95568090476
2536	1390.80592957143
2534	1378.97924266667
2532	1392.61125047619
2530	1406.83943880952
2528	1433.03388195238
2526	1421.3463062381
2524	1389.78682485714
2522	1359.01279204762
2520	1352.07300966667
2518	1389.57431028571
2516	1417.16281585714
2514	1468.17423728571
2512	1483.37703638095
2510	1477.28957304762
2508	1457.69660671429
2506	1431.97538528571
2504	1393.21721019048
2502	1401.12849609524
2500	1394.41550795238
2498	1392.87661009524
2496	1411.979452
2494	1462.71883728571
2492	1494.77211133333
2490	1463.64499580952
2488	1416.22590514286
2486	1370.303296
2484	1369.10882933333
2482	1398.9320902381
2480	1398.65537538095
2478	1364.22330471429
2476	1373.4068257619
2474	1432.95972061905
2472	1484.21611747619
2470	1496.69649442857
2468	1459.26569114286
2466	1423.10787957143
2464	1409.40003871429
2462	1406.19858404762
2460	1373.12476819048
2458	1384.36556004762
2456	1364.71121795238
2454	1371.5310252381
2452	1417.95288180952
2450	1436.09559309524
2448	1436.59734
2446	1436.54368090476
2444	1403.56441642857
2442	1398.48213671429
2440	1442.87465171429
2438	1473.63345714286
2436	1466.66274538095
2434	1439.60724557143
2432	1427.22467871429
2430	1419.25715171429
2428	1437.4334842381
2426	1436.14410666667
2424	1429.16326128571
2422	1460.30820457143
2420	1487.32343961905
2418	1452.75325242857
2416	1444.93958266667
2414	1408.848716
2412	1401.38809671429
2410	1419.75619628571
2408	1455.38407404762
2406	1458.50179790476
2404	1458.07521033333
2402	1439.25403319048
2400	1422.64774914286
2398	1402.34628057143
2396	1437.96464704762
2394	1475.63126052381
2392	1449.44377219048
2390	1466.60270419048
2388	1474.74859790476
2386	1470.63061466667
2384	1481.85832985714
2382	1465.91370361905
2380	1412.62383742857
2378	1371.17437461905
2376	1384.27744133333
2374	1390.96774304762
2372	1430.07359428571
2370	1458.05419333333
2368	1458.76076247619
2366	1438.27666095238
2364	1455.47427133333
2362	1425.2625107619
2360	1453.33822795238
2358	1449.30831571429
2356	1421.37044114286
2354	1411.84251357143
2352	1410.82240557143
2350	1422.75799152381
2348	1429.63209261905
2346	1411.00649333333
2344	1403.236358
2342	1396.32541814286
2340	1379.13667519048
2338	1384.673815
2336	1369.68979861905
2334	1373.76095457143
2332	1390.83860357143
2330	1409.25046085714
2328	1402.69649747619
2326	1395.51276961905
2324	1398.69609328571
2322	1381.59078104762
2320	1352.86265095238
2318	1392.9650462381
2316	1422.54088957143
2314	1437.36267847619
2312	1447.38940623809
2310	1407.56771090476
2308	1374.27283833333
2306	1431.83394428571
2304	1440.62268133333
2302	1421.38804514286
2300	1403.16888614286
2298	1398.19828895238
2296	1386.64721895238
2294	1424.17167980952
2292	1430.45976071429
2290	1410.03751009524
2288	1366.76867266667
2286	1359.31102642857
2284	1378.48656409524
2282	1420.34975885714
2280	1450.56760461905
2278	1459.89445266667
2276	1441.01469142857
2274	1416.1029532381
2272	1424.67524361905
2270	1419.07439195238
2268	1399.65210857143
2266	1385.76581433333
2264	1410.87275433333
2262	1437.10302333333
2260	1458.69825709524
2258	1440.98586280952
2256	1412.20851290476
2254	1403.14511538095
2252	1423.89576428571
2250	1418.21851480952
2248	1422.21101
2246	1402.40949366667
2244	1385.65309071429
2242	1404.33345361905
2240	1409.37457466667
2238	1412.20054866667
2236	1449.72400680952
2234	1464.13918042857
2232	1453.42945519048
2230	1440.18140742857
2228	1391.12415052381
2226	1373.07360442857
2224	1372.37606657143
2222	1411.15244714286
2220	1440.39348557143
2218	1471.66647195238
2216	1443.41979595238
2214	1425.02439280952
2212	1399.18849380952
2210	1407.85279466667
2208	1408.22416219048
2206	1434.56850985714
2204	1422.99021333333
2202	1437.15713247619
2200	1423.63820085714
2198	1412.25900519048
2196	1395.76549595238
2194	1397.4913497619
2192	1395.12451704762
2190	1388.288883
2188	1371.65883952381
2186	1392.25913728571
2184	1406.31843842857
2182	1432.05132190476
2180	1455.12769942857
2178	1455.0661667619
2176	1420.66714042857
2174	1420.41971671429
2172	1413.2941967619
2170	1420.99492247619
2168	1442.35058795238
2166	1450.52707033333
2164	1456.444254
2162	1476.924392
2160	1466.64380128571
2158	1451.94285690476
2156	1444.20714333333
2154	1428.83586561905
2152	1460.66231938095
2150	1470.16269566667
2148	1474.21871228571
2146	1471.5856387619
2144	1488.81711080952
2142	1500.52449685714
2140	1475.34836771429
2138	1457.25330842857
2136	1459.57998652381
2134	1457.87914633333
2132	1484.83397028571
2130	1487.45976085714
2128	1450.46771619048
2126	1452.82924785714
2124	1474.35801457143
2122	1453.42185657143
2120	1447.81537828571
2118	1444.76006652381
2116	1457.15602995238
2114	1482.77689590476
2112	1505.98128128571
2110	1475.91361728571
2108	1455.08106171429
2106	1438.57579857143
2104	1433.80337385714
2102	1437.06662861905
2100	1445.25745338095
2098	1437.34826052381
2096	1440.43592752381
2094	1411.90461890476
2092	1414.12591280952
2090	1425.41459166667
2088	1449.91417542857
2086	1481.35392771429
2084	1499.36337804762
2082	1492.88604219048
2080	1473.95716271429
2078	1466.21884580952
2076	1457.74276642857
2074	1457.84849666667
2072	1454.49571414286
2070	1459.09411438095
2068	1455.33474857143
2066	1474.45490847619
2064	1493.7476212381
2062	1494.70980385714
2060	1495.21744519048
2058	1498.0530672381
2056	1501.13397147619
2054	1487.2652927619
2052	1492.62656295238
2050	1502.073078
2048	1495.39687066667
2046	1506.2281067619
2044	1510.05150138095
2042	1495.08319409524
2040	1493.2793157619
2038	1495.02214595238
2036	1470.51900428571
2034	1497.37852919048
2032	1522.17050114286
2030	1536.65280014286
2028	1546.31699942857
2026	1523.33682228571
2024	1489.41686209524
2022	1497.91583414286
2020	1492.77704842857
2018	1505.98143309524
2016	1524.86447861905
2014	1523.28465152381
2012	1526.63637880952
2010	1540.83878333333
2008	1530.75813304762
2006	1557.890915
2004	1571.75681642857
2002	1577.75206228571
2000	1553.68426528571
1998	1533.67251866667
1996	1518.15418328571
1994	1536.66359890476
