Magnetic Field	ODEPR Signal
Tesla	
10290	-0.00117082415605134
10300	-0.00120539030663485
10310	-0.00116412578337252
10320	-0.00116798766310887
10330	-0.00118223051094375
10340	-0.00118084469998594
10350	-0.00119560211647299
10360	-0.00118268925750676
10370	-0.00118720531172779
10380	-0.00118197248150864
10390	-0.0011998961226899
10400	-0.0012036169818995
10410	-0.00121020527561402
10420	-0.0012005093889494
10430	-0.00119224780731418
10440	-0.00119684095475979
10450	-0.00117827909160748
10460	-0.0011887254148861
10470	-0.00119205893043113
10480	-0.00119783181270151
10490	-0.00117469485792626
10500	-0.00119081503478367
10510	-0.00119380466955178
10520	-0.0011921369256097
10530	-0.00117767143271636
10540	-0.00117936437208075
10550	-0.00120407678293954
10560	-0.00119380310789558
10570	-0.00117521332140268
10580	-0.00118092142523209
10590	-0.00118542951919078
10600	-0.0011557785833643
10610	-0.00116033703603234
10620	-0.00116961700014357
10630	-0.00116865510463233
10640	-0.00118121569673153
10650	-0.00117346315556407
10660	-0.00115663355039848
10670	-0.00117601873924601
10680	-0.0011716619552956
10690	-0.00116472689749459
10700	-0.00116398465545205
10710	-0.00115347322384557
10720	-0.00115585585343857
10730	-0.00114927704259245
10740	-0.00115601642162926
10750	-0.00115388367652349
10760	-0.00115806288023696
10770	-0.00115727016677411
10780	-0.0011765056461008
10790	-0.00118043205123349
10800	-0.00117096283815774
10810	-0.00117607623264866
10820	-0.00117499376968244
10830	-0.0011839481016081
10840	-0.00118853754967726
10850	-0.00117803504498584
10860	-0.00117539478852947
10870	-0.00118147585154433
10880	-0.00118650779863706
10890	-0.00117089556806608
10900	-0.0011763763445548
10910	-0.00117648482969036
10920	-0.00116762832876185
10930	-0.00116187936375846
10940	-0.00119118987853779
10950	-0.00119235642098553
10960	-0.00119039900345257
10970	-0.00118392502968862
10980	-0.00120127688118076
10990	-0.00118264316685496
11000	-0.00118962024516767
11010	-0.00118988921010453
11020	-0.00118245458900095
11030	-0.00120239304184478
11040	-0.00118832217501251
11050	-0.00118524652304887
11060	-0.00119029192166786
11070	-0.00118338445042149
11080	-0.00118089888477324
11090	-0.00117406562636778
11100	-0.00116014174474693
11110	-0.00117266949667472
11120	-0.00115816049148551
11130	-0.00116158766702969
11140	-0.00114818748574798
11150	-0.00113377019008027
11160	-0.00112120278385038
11170	-0.00112775496495127
11180	-0.00112032724737857
11190	-0.00109510576572215
11200	-0.00108673837296894
11210	-0.00111008248759199
11220	-0.00109073208830297
11230	-0.0010854158166948
11240	-0.00108953158476258
11250	-0.00106743724236211
11260	-0.00105459123887539
11270	-0.0010502768438845
11280	-0.00104889815702543
11290	-0.00105527654630505
11300	-0.00102869370061962
11310	-0.00104056611777907
11320	-0.00102514455297572
11330	-0.00103027303302866
11340	-0.00102259120837746
11350	-0.00102672721565765
11360	-0.00100908996989991
11370	-0.00100470013912733
11380	-0.0010102838086654
11390	-0.00100119511753493
11400	-9.91756304306459E-4
11410	-9.72816833830268E-4
11420	-9.6185308542697E-4
11430	-9.54781180055705E-4
11440	-9.50545961508667E-4
11450	-9.29602772217871E-4
11460	-9.25895331005064E-4
11470	-9.3686035613846E-4
11480	-9.38833147480072E-4
11490	-9.25675148039782E-4
11500	-9.34611725005028E-4
11510	-9.45793824142471E-4
11520	-9.47317585820345E-4
11530	-9.43333333333333E-4
11540	-9.43144442765116E-4
11550	-9.28502024635282E-4
11560	-9.34324145548028E-4
11570	-9.62379146287177E-4
11580	-9.53860079160391E-4
11590	-9.56707634137714E-4
11600	-9.61485216543822E-4
11610	-9.46671444388422E-4
11620	-9.55683513018177E-4
11630	-9.64929562108007E-4
11640	-9.70083435650763E-4
11650	-9.63400243269761E-4
11660	-9.8532027881474E-4
11670	-9.8443290913034E-4
11680	-9.96473435750028E-4
11690	-9.93780568624037E-4
11700	-0.00100341348970713
11710	-0.00103045443376056
11720	-0.00107478375265685
11730	-0.00108578667085634
11740	-0.00108754194754472
