Wavenumbers	Absorbance/g
cm\+(-1)	
2234.85	132.35571
2236.78	132.41143
2238.7	132.42571
2240.63	132.44571
2242.55	132.46143
2244.48	132.50714
2246.4	132.57143
2248.33	132.54143
2250.25	132.56143
2252.18	132.56714
2254.1	132.62714
2256.03	132.65714
2257.95	132.69714
2259.88	132.69714
2261.8	132.74857
2263.73	132.79857
2265.65	132.81857
2267.58	132.80857
2269.5	132.80286
2271.43	132.83286
2273.35	132.93857
2275.27	132.90857
2277.2	132.93857
2279.12	132.93429
2281.05	132.98429
2282.97	132.96857
2284.9	132.95857
2286.82	132.91429
2288.75	132.88429
2290.67	132.87429
2292.6	132.85857
2294.52	132.89857
2296.45	132.85286
2298.37	132.85286
2300.3	132.83286
2302.22	132.82286
2304.15	132.78857
2306.07	132.75857
2308	132.78286
2309.92	132.73286
2311.85	132.68714
2313.77	132.69714
2315.7	132.70286
2317.62	132.68286
2319.55	132.63714
2321.47	132.57714
2323.4	132.54714
2325.32	132.49714
2327.25	132.43571
2329.17	132.28571
2331.1	132.23
2333.02	132.09
2334.95	132.19
2336.87	132.12429
2338.8	132.06857
2340.72	131.63714
2342.65	131.47571
2344.57	131.86286
2346.5	132.15
2348.42	132.25
2350.35	132.39143
2352.27	132.43571
2354.2	132.44143
2356.12	132.50143
2358.05	132.50714
2359.97	132.50714
2361.9	132.55714
2363.82	132.55714
2365.75	132.53714
2367.67	132.57714
2369.6	132.51143
2371.52	132.63286
2373.45	132.64286
2375.37	132.62714
2377.3	132.65286
2379.22	132.68714
2381.15	132.73857
2383.07	132.77857
2385	132.77857
2386.92	132.83857
2388.85	132.84286
2390.77	132.88429
2392.7	132.89429
2394.62	132.91429
2396.55	132.90429
2398.47	132.97857
2400.4	132.99
2402.32	132.96429
2404.25	133.03
2406.17	133.03
2408.1	133.08
2410.02	133.05
2411.95	133.08
2413.87	133.08429
2415.8	133.12
2417.72	133.13
2419.65	133.16571
2421.57	133.14571
2423.5	133.19571
2425.42	133.22
2427.34	133.19571
2429.27	133.28571
2431.19	133.25143
2433.12	133.30571
2435.04	133.30571
2436.97	133.30143
2438.89	133.32571
2440.82	133.35143
2442.74	133.39143
2444.67	133.42143
2446.59	133.47143
2448.52	133.49143
2450.44	133.52714
2452.37	133.48714
2454.29	133.50143
2456.22	133.46143
2458.14	133.50143
2460.07	133.53286
2461.99	133.57286
2463.92	133.57286
2465.84	133.62286
2467.77	133.67857
2469.69	133.64286
2471.62	133.65286
2473.54	133.65286
2475.47	133.70857
2477.39	133.74857
2479.32	133.72857
2481.24	133.72286
2483.17	133.75286
2485.09	133.82857
2487.02	133.86429
2488.94	133.77429
2490.87	133.85857
2492.79	133.85857
2494.72	133.78429
2496.64	133.91
2498.57	133.94
2500.49	133.86429
2502.42	133.92429
2504.34	134.04
2506.27	133.98429
2508.19	133.97429
2510.12	133.96
2512.04	133.99
2513.97	134.08571
2515.89	134.09571
2517.82	134.08571
2519.74	134.08
2521.67	134.08571
2523.59	134.13
2525.52	134.15571
2527.44	134.15143
2529.37	134.19143
2531.29	134.19571
2533.22	134.18571
2535.14	134.17143
2537.07	134.20571
2538.99	134.26143
2540.92	134.27571
2542.84	134.27143
2544.77	134.39143
2546.69	134.38143
2548.62	134.29714
2550.54	134.28714
2552.47	134.29714
2554.39	134.26143
2556.32	134.33143
2558.24	134.28714
2560.17	134.29143
2562.09	134.26571
2564.02	134.26571
2565.94	134.23571
2567.87	134.22143
2569.79	134.09
2571.72	134.10571
2573.64	134.05571
2575.57	134
2577.49	133.99429
2579.41	133.9
2581.34	133.87429
2583.26	133.82857
2585.19	133.79429
2587.11	133.76429
2589.04	133.68857
2590.96	133.65857
2592.89	133.67857
2594.81	133.62286
2596.74	133.57286
2598.66	133.55714
2600.59	133.50143
2602.51	133.49143
2604.44	133.49143
2606.36	133.37143
2608.29	133.41714
2610.21	133.39714
2612.14	133.39143
2614.06	133.32571
2615.99	133.39714
2617.91	133.35143
2619.84	133.33571
2621.76	133.32571
2623.69	133.28143
2625.61	133.28143
2627.54	133.29143
2629.46	133.18571
2631.39	133.22571
2633.31	133.21571
2635.24	133.18571
2637.16	133.18571
2639.09	133.17571
2641.01	133.14
2642.94	133.23
2644.86	133.08
2646.79	133.11571
2648.71	133.12571
2650.64	133.14
2652.56	133.13
2654.49	133.13571
2656.41	133.15
2658.34	133.07429
2660.26	133.1
2662.19	133.08429
2664.11	133.09429
2666.04	133.04429
