Wavelength	Absorbance	Wavelength	Absorbance
nm		nm	
1073.7	0.3812	1395.7	0.22306
1076.4	0.38047	1396	0.23158
1079.1	0.37919	1396.3	0.23411
1083.6	0.37767	1396.6	0.24313
1086.9	0.37617	1396.9	0.25116
1089.9	0.37416	1397.2	0.26018
1091.7	0.37366	1397.8	0.27215
1092	0.37166	1398.4	0.27863
1092.9	0.3712	1398.7	0.28861
1093.8	0.3708	1399.3	0.29959
1096.8	0.37012	1399.6	0.30757
1098.9	0.36939	1399.9	0.31106
1100.1	0.36904	1400.2	0.31405
1102.8	0.36764	1400.5	0.31655
1105.2	0.36564	1400.8	0.32004
1107.9	0.36391	1401.1	0.32802
1111.2	0.36163	1401.4	0.33401
1113.6	0.35919	1401.7	0.337
1116.6	0.35702	1402	0.34548
1119.3	0.35541	1402.3	0.34797
1121.8	0.35412	1402.6	0.35246
1124.8	0.35149	1402.9	0.36194
1127.2	0.34961	1403.2	0.36394
1130.2	0.34815	1403.8	0.37049
1132.6	0.34684	1404.1	0.37551
1135.9	0.3446	1404.4	0.38104
1139.2	0.34209	1404.7	0.38457
1140.7	0.34059	1405	0.3896
1142.5	0.33909	1405.6	0.39367
1144	0.33839	1405.9	0.3982
1146.4	0.33708	1406.2	0.40073
1150	0.33508	1406.8	0.40779
1151.2	0.33457	1407.4	0.41232
1152.7	0.33315	1407.7	0.41731
1153.9	0.33247	1408	0.4193
1156.6	0.33107	1408.3	0.4208
1159	0.32956	1408.6	0.42379
1159.9	0.32906	1408.9	0.42479
1163.5	0.32606	1409.5	0.42578
1164.1	0.32556	1410.4	0.42478
1165.3	0.32506	1410.7	0.42378
1166.2	0.32406	1411	0.42178
1169.2	0.32205	1411.3	0.41828
1172.2	0.31955	1411.6	0.41379
1174	0.31805	1411.9	0.41229
1177	0.31554	1412.2	0.4053
1179.7	0.31354	1412.5	0.39782
1183	0.3107	1412.8	0.39582
1186.3	0.30903	1413.1	0.39283
1189.7	0.306	1413.4	0.38933
1192.7	0.30322	1413.7	0.38184
1195.4	0.30152	1414	0.37386
1198.4	0.29852	1414.3	0.36437
1202.9	0.29443	1414.9	0.35489
1205.9	0.29051	1415.2	0.34241
1209.2	0.28701	1415.5	0.33892
1211.6	0.2855	1415.8	0.33143
1214.9	0.2835	1416.1	0.32544
1218.8	0.2812	1416.4	0.31396
1221.8	0.27937	1416.7	0.30149
1226	0.27648	1417	0.29051
1230	0.27298	1417.3	0.28701
1233.3	0.27047	1417.6	0.28052
1236	0.26797	1417.9	0.27254
1238.4	0.26547	1418.2	0.26655
1240.8	0.26297	1418.5	0.25806
1241.7	0.26247	1419.1	0.25057
1242.3	0.26196	1419.4	0.24309
1242.3	0.26147	1420	0.2366
1242.9	0.26096	1420.3	0.2321
1243.5	0.26046	1420.6	0.22611
1243.8	0.26196	1420.9	0.22012
1245	0.25946	1421.2	0.21363
1245	0.26196	1421.5	0.20315
1246.2	0.25846	1421.8	0.20066
