Wavelength,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
nm,arb units,arb units,arb units,arb units,arb units,arb units
Concentration,0.01 µmol/ml,0.02 µmol/ml,0.03 µmol/ml,0.04 µmol/ml,0.05 µmol/ml,0.06 µmol/ml
542,0,0.001,0.002,0.00233,0.00633,0.00767
543,0,0.001,0.002,0.00267,0.00667,0.008
544,0,0.001,0.002,0.003,0.00667,0.008
545,0,0.001,0.002,0.003,0.007,0.008
546,0,0.001,0.002,0.003,0.007,0.008
547,0,0.001,0.002,0.003,0.007,0.008
548,0,0.001,0.002,0.003,0.007,0.00833
549,0,0.001,0.002,0.003,0.007,0.00833
550,0,0.001,0.00233,0.003,0.007,0.00867
551,0,0.001,0.00267,0.003,0.007,0.009
552,3.33333E-4,0.00133,0.003,0.003,0.00767,0.009
553,3.33333E-4,0.002,0.003,0.00333,0.008,0.009
554,3.33333E-4,0.002,0.003,0.004,0.008,0.00933
555,3.33333E-4,0.002,0.003,0.004,0.008,0.00967
556,3.33333E-4,0.002,0.003,0.004,0.008,0.01
557,0.001,0.002,0.003,0.004,0.00867,0.01
558,0.001,0.002,0.00367,0.004,0.009,0.01067
559,0.001,0.002,0.004,0.005,0.009,0.011
560,0.001,0.002,0.004,0.005,0.009,0.011
561,0.001,0.002,0.004,0.005,0.00967,0.01133
562,0.001,0.00233,0.004,0.005,0.01,0.012
563,0.001,0.003,0.004,0.005,0.01,0.012
564,0.001,0.003,0.005,0.006,0.01067,0.01233
565,0.001,0.003,0.005,0.006,0.011,0.013
566,0.001,0.003,0.005,0.006,0.011,0.01333
567,0.001,0.003,0.005,0.006,0.01133,0.014
568,0.001,0.003,0.00567,0.007,0.012,0.014
569,0.00133,0.003,0.006,0.007,0.012,0.01467
570,0.00133,0.00367,0.006,0.007,0.01267,0.015
571,0.002,0.004,0.006,0.00733,0.013,0.01567
572,0.002,0.004,0.007,0.008,0.01333,0.016
573,0.002,0.004,0.007,0.008,0.014,0.01667
574,0.002,0.004,0.007,0.008,0.014,0.017
575,0.002,0.004,0.00767,0.009,0.015,0.018
576,0.002,0.005,0.008,0.009,0.015,0.01833
577,0.002,0.005,0.008,0.00967,0.016,0.019
578,0.002,0.005,0.008,0.01,0.016,0.01967
579,0.00233,0.005,0.009,0.01,0.017,0.02
580,0.00233,0.005,0.009,0.011,0.017,0.021
581,0.00267,0.006,0.01,0.011,0.018,0.02167
582,0.003,0.006,0.01,0.01167,0.018,0.02233
583,0.003,0.006,0.01,0.012,0.019,0.023
584,0.003,0.006,0.011,0.012,0.01967,0.024
585,0.003,0.007,0.011,0.013,0.02,0.02433
586,0.00333,0.007,0.012,0.013,0.021,0.02533
587,0.00333,0.007,0.012,0.014,0.02167,0.026
588,0.00333,0.007,0.012,0.014,0.022,0.027
589,0.004,0.008,0.013,0.015,0.023,0.028
590,0.004,0.008,0.013,0.015,0.024,0.029
591,0.004,0.008,0.014,0.016,0.02467,0.02967
592,0.004,0.009,0.014,0.016,0.025,0.03033
593,0.00433,0.009,0.015,0.017,0.026,0.03133
594,0.00433,0.009,0.015,0.01767,0.02667,0.032
595,0.00467,0.009,0.016,0.018,0.027,0.033
596,0.005,0.01,0.016,0.019,0.028,0.034
597,0.005,0.01,0.017,0.019,0.029,0.035
598,0.00533,0.01033,0.01767,0.02,0.03,0.03633
599,0.00533,0.011,0.018,0.021,0.031,0.03733
600,0.00533,0.011,0.019,0.021,0.032,0.03833
601,0.006,0.01133,0.019,0.022,0.03267,0.04
602,0.006,0.012,0.02,0.02267,0.03333,0.041
603,0.00633,0.012,0.02,0.023,0.03433,0.042
604,0.00633,0.01267,0.021,0.024,0.035,0.043
605,0.00633,0.013,0.022,0.025,0.036,0.044
606,0.007,0.013,0.022,0.025,0.03733,0.04533
607,0.007,0.014,0.023,0.026,0.03833,0.047
608,0.00733,0.014,0.024,0.027,0.03967,0.048
609,0.00733,0.015,0.02433,0.028,0.041,0.04933
610,0.00767,0.015,0.025,0.029,0.042,0.051
611,0.008,0.01567,0.026,0.02933,0.043,0.052
612,0.008,0.016,0.027,0.03,0.044,0.054
613,0.00833,0.016,0.02733,0.031,0.045,0.055
614,0.00833,0.017,0.028,0.032,0.04667,0.05667
615,0.009,0.017,0.029,0.033,0.04767,0.058
616,0.009,0.018,0.03,0.034,0.049,0.05933
617,0.00933,0.018,0.031,0.035,0.05,0.061
618,0.00933,0.019,0.031,0.036,0.051,0.06267
619,0.01,0.019,0.032,0.03633,0.05267,0.064
620,0.01,0.02,0.033,0.037,0.054,0.06533
621,0.01033,0.02,0.034,0.038,0.055,0.067
622,0.01033,0.021,0.035,0.039,0.056,0.06833
623,0.011,0.021,0.03533,0.04,0.05733,0.07
624,0.01133,0.022,0.036,0.041,0.059,0.07167
625,0.01133,0.022,0.037,0.042,0.06,0.073
626,0.01133,0.023,0.038,0.043,0.061,0.075
627,0.012,0.023,0.039,0.044,0.063,0.07633
628,0.01233,0.024,0.04,0.045,0.064,0.078
629,0.01233,0.024,0.041,0.046,0.06533,0.08
630,0.01233,0.025,0.04133,0.047,0.067,0.08133
631,0.01333,0.025,0.042,0.048,0.068,0.083
632,0.01333,0.026,0.043,0.049,0.06933,0.08467
633,0.01333,0.026,0.044,0.05,0.071,0.086
634,0.014,0.027,0.045,0.051,0.072,0.088
635,0.014,0.027,0.046,0.052,0.073,0.089
636,0.01433,0.028,0.047,0.052,0.07467,0.091
637,0.01433,0.028,0.047,0.053,0.07567,0.092
638,0.01467,0.029,0.048,0.054,0.07667,0.09333
639,0.015,0.029,0.049,0.055,0.078,0.095
640,0.01533,0.029,0.049,0.05533,0.079,0.096
641,0.01533,0.03,0.05,0.056,0.08,0.097
642,0.01533,0.03,0.051,0.057,0.081,0.09833
643,0.01567,0.031,0.051,0.058,0.082,0.1
644,0.016,0.031,0.052,0.059,0.083,0.101
645,0.01633,0.03167,0.053,0.059,0.084,0.10233
646,0.01633,0.032,0.053,0.06,0.085,0.104
647,0.01633,0.032,0.054,0.061,0.086,0.105
648,0.01667,0.03267,0.055,0.06167,0.087,0.106
649,0.017,0.033,0.055,0.062,0.088,0.107
650,0.01733,0.033,0.056,0.063,0.089,0.10833
651,0.01733,0.034,0.056,0.06333,0.08967,0.10933
652,0.01733,0.034,0.057,0.064,0.09,0.11
653,0.01733,0.034,0.057,0.064,0.091,0.111
654,0.01767,0.034,0.05733,0.065,0.091,0.11133
655,0.018,0.03433,0.058,0.065,0.09167,0.112
656,0.01767,0.034,0.058,0.065,0.09167,0.112
657,0.01733,0.03433,0.058,0.065,0.09167,0.112
658,0.01733,0.034,0.058,0.065,0.09133,0.11167
659,0.01733,0.034,0.057,0.065,0.091,0.11133
660,0.01733,0.034,0.057,0.06467,0.091,0.111
661,0.01733,0.034,0.057,0.064,0.091,0.111
662,0.01733,0.034,0.057,0.064,0.09067,0.111
663,0.01733,0.034,0.057,0.064,0.09,0.11033
664,0.01733,0.034,0.057,0.064,0.09,0.11
665,0.01733,0.034,0.057,0.064,0.09,0.11
666,0.01733,0.034,0.05667,0.064,0.09,0.10967
667,0.01733,0.034,0.05633,0.064,0.09,0.10933
668,0.01733,0.034,0.056,0.06333,0.08933,0.10933
669,0.01733,0.034,0.056,0.063,0.089,0.109
670,0.01733,0.03367,0.056,0.063,0.089,0.109
671,0.01733,0.03367,0.056,0.063,0.089,0.109
672,0.01733,0.03333,0.056,0.063,0.089,0.109
673,0.01733,0.034,0.056,0.063,0.089,0.109
674,0.01733,0.034,0.056,0.06333,0.08933,0.109
675,0.01733,0.034,0.056,0.06333,0.08933,0.109
676,0.01733,0.034,0.05667,0.064,0.09,0.10967
677,0.01733,0.034,0.057,0.064,0.09,0.11
678,0.01733,0.034,0.057,0.064,0.09,0.11
679,0.01733,0.034,0.057,0.064,0.09033,0.11033
680,0.01733,0.034,0.057,0.064,0.09067,0.111
681,0.01733,0.034,0.057,0.065,0.091,0.111
682,0.01767,0.034,0.058,0.065,0.09133,0.11167
683,0.01767,0.03433,0.058,0.065,0.092,0.112
684,0.018,0.035,0.058,0.065,0.092,0.11233
685,0.018,0.035,0.058,0.066,0.09233,0.113
686,0.018,0.035,0.059,0.066,0.093,0.11333
687,0.01833,0.035,0.059,0.066,0.09333,0.114
688,0.01833,0.035,0.059,0.067,0.094,0.11467
689,0.01833,0.03533,0.05933,0.067,0.094,0.115
690,0.01833,0.036,0.06,0.067,0.095,0.11567
691,0.01833,0.036,0.06,0.068,0.095,0.116
692,0.01833,0.036,0.06033,0.068,0.096,0.117
693,0.01833,0.036,0.061,0.068,0.096,0.117
694,0.01867,0.036,0.061,0.069,0.09633,0.118
695,0.019,0.037,0.061,0.069,0.097,0.11867
696,0.019,0.037,0.062,0.069,0.09767,0.119
697,0.019,0.037,0.062,0.07,0.098,0.12
698,0.01933,0.037,0.062,0.07,0.09867,0.12
699,0.01933,0.037,0.063,0.07067,0.099,0.121
700,0.01933,0.03767,0.063,0.071,0.09933,0.12167
701,0.01933,0.038,0.063,0.071,0.1,0.122
702,0.01933,0.038,0.064,0.072,0.10033,0.123
703,0.01933,0.038,0.064,0.072,0.101,0.123
704,0.01933,0.038,0.064,0.072,0.101,0.124
705,0.01967,0.038,0.064,0.07233,0.102,0.124
706,0.02,0.03833,0.065,0.073,0.102,0.125
707,0.02,0.03867,0.065,0.073,0.103,0.125
708,0.02033,0.039,0.065,0.07333,0.103,0.126
709,0.02033,0.039,0.066,0.074,0.10333,0.12633
710,0.02033,0.039,0.066,0.074,0.104,0.127
711,0.02033,0.039,0.066,0.074,0.104,0.127
712,0.02033,0.039,0.066,0.074,0.104,0.12733
713,0.02033,0.03933,0.066,0.07467,0.10467,0.128
714,0.02033,0.03933,0.06633,0.075,0.105,0.128
715,0.02033,0.04,0.067,0.075,0.105,0.12833
716,0.02033,0.04,0.067,0.075,0.105,0.12867
717,0.02033,0.04,0.067,0.075,0.105,0.129
718,0.02033,0.04,0.067,0.075,0.10533,0.129
719,0.02033,0.04,0.067,0.075,0.10533,0.129
720,0.02033,0.04,0.067,0.075,0.10567,0.129
721,0.02033,0.04,0.067,0.075,0.10567,0.129
722,0.02033,0.04,0.067,0.075,0.10533,0.129
723,0.02033,0.04,0.067,0.075,0.105,0.129
724,0.02033,0.03967,0.067,0.075,0.105,0.129
725,0.02033,0.03933,0.06667,0.075,0.105,0.12867
726,0.02033,0.039,0.066,0.075,0.105,0.12833
