wavenumber	intensity
cm\+(-1)	a.u.
565.5085	2168.94758272021
567.437	2204.17806395594
569.3655	2231.59507872426
571.2939	2248.78770687224
573.2224	2254.25143913386
575.1509	2247.5011805277
577.0793	2229.09919027543
579.0078	2200.59715620523
580.9363	2164.39857224445
582.8647	2123.55392539749
584.7932	2081.5064051188
586.7217	2041.80952561373
588.6501	2007.83993347438
590.5786	1982.52864195922
592.5071	1968.13202807405
594.4355	1966.06033834521
596.364	1976.77649470562
598.2925	1999.77209784743
600.2209	2033.62118397537
602.1494	2076.10602119764
604.0779	2124.40353752739
606.0063	2175.31630180722
607.9348	2225.52868945434
609.8633	2271.86719678534
611.7917	2311.54392607788
613.7202	2342.36401290499
615.6487	2362.88103662276
617.5771	2372.48895385291
619.5056	2371.44443909759
621.4341	2360.81926053859
623.3625	2342.38799230833
625.291	2318.46151038969
627.2195	2291.68093118287
629.1479	2264.78960494011
631.0764	2240.40225260833
633.0049	2220.79023844591
634.9333	2207.70033454138
636.8618	2202.22131302031
638.7903	2204.70856231787
640.7188	2214.77201658603
642.6472	2231.32741992644
644.5757	2252.70575062802
646.5042	2276.81092409809
648.4326	2301.31205065191
650.3611	2323.85384518127
652.2896	2342.26747189298
654.218	2354.76424841272
656.1465	2360.09620122064
658.075	2357.67031608765
660.0034	2347.60721906365
661.9319	2330.73963122863
663.8604	2308.55088577728
665.7888	2283.05867813648
667.7173	2256.65364714716
669.6458	2231.90600676484
671.5742	2211.35598006949
673.5027	2197.30503714555
675.4312	2191.62481621703
677.3596	2195.59913399449
679.2881	2209.81179449457
681.2166	2234.0892096508
683.145	2267.50245120519
685.0735	2308.42861574128
687.002	2354.66668160856
688.9304	2403.59874033184
690.8589	2452.38393311679
692.7874	2498.16989099035
694.7158	2538.30515802749
696.6443	2570.53606695767
698.5728	2593.17282731311
700.5012	2605.21206792515
702.4297	2606.40654490102
704.3582	2597.27690397411
706.2866	2579.06493942995
708.2151	2553.63236065078
710.1436	2523.31330296809
712.072	2490.73237261257
714.0005	2458.60262170566
715.929	2429.51931008898
717.8574	2405.76551902982
719.7859	2389.14462901308
721.7144	2380.85245036409
723.6428	2381.39858299364
725.5713	2390.58263826885
727.4998	2407.52659593804
729.4282	2430.7601372835
731.3567	2458.35164128254
733.2852	2488.07397919027
735.2136	2517.59157154353
737.1421	2544.65358683832
739.0706	2567.27778362624
740.999	2583.91035276019
742.9275	2593.54913218921
744.856	2595.82058001422
746.7844	2591.00466109503
748.7129	2580.00602762613
750.6414	2564.27421830665
752.5698	2545.6797181642
754.4983	2526.35628363242
756.4268	2508.52266048838
758.3552	2494.29848699033
760.2837	2485.52964551053
762.2122	2483.63756176013
764.1406	2489.50500772753
766.0691	2503.40799284303
767.9976	2524.99956025359
769.926	2553.34703874943
771.8545	2587.0198749049
773.783	2624.22093890275
775.7114	2662.95050353964
777.6399	2701.18924202354
779.5684	2737.08481586737
781.4968	2769.12608602195
783.4253	2796.28973876993
785.3538	2818.14613115545
787.2822	2834.91428708196
789.2107	2847.45998256749
791.1392	2857.23544145963
793.0676	2866.16396503418
794.9961	2876.47746066493
796.9246	2890.518942276
798.853	2910.52530979918
800.7815	2938.40779975203
802.71	2975.54824260958
804.6384	3022.62857455537
806.5669	3079.50895156527
808.4954	3145.16643372041
810.4238	3217.70178137456
812.3523	3294.41675356594
814.2808	3371.95880808304
816.2092	3446.52469258889
818.1377	3514.10951160674
820.0662	3570.78385038067
821.9946	3612.97876881864
